,Titres,Auteur(s),Liste,recensé,Notes
859,Le Pouvoir du moment présent,Eckhart Tolle,"developpement_personnel, etats_de_conscience",2,6.9
1163,Novum Organum (1620),Francis Bacon,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,6.9
498,L'initiation,Rudolf Steiner,"developpement_personnel, la_gnose",2,6.8
641,La Rose aux treize pétales (1980),Adin Steinsaltz,"developpement_personnel, resonnances_mystiques",2,6.8
844,Le Mythe de l'alchimie,Mircea Eliade,"097_tradition_primordiale, la_gnose",2,6.8
959,Le symbolisme du corps humain,Annick de Souzenelle,"097_tradition_primordiale, sophia_perennis",2,6.8
1139,Méphistophélès et l'Androgyne,Mircea Eliade,"097_tradition_primordiale, la_gnose",2,6.7
1479,Études sur l'Hindouisme (1967),René Guénon,"097_tradition_primordiale, le_traditionalisme",2,6.7
20,Ame de sorcière,Odile Chabrillac,"etats_de_conscience, un_chemin_spirituel",2,6.6
365,Introduction à la psychanalyse (1917),Sigmund Freud,"la_gnose, un_chemin_spirituel",2,6.6
394,L'Alchimie (1951),Serge Hutin,"la_gnose, resonnances_mystiques",2,6.6
901,Le Traité de l'unité,Ibn Arabi,"developpement_personnel, sophia_perennis",2,6.6
101,Cinq leçons sur la psychanalyse (1910),Sigmund Freud,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,6.5
694,La doctrine aryenne du combat et de la victoire (1941),Julius Evola,"097_tradition_primordiale, le_traditionalisme",2,6.5
1222,Pourquoi je n'ai pas écrit de film sur Sitting Bull,Claire Barré,"etats_de_conscience, la_bibliotheque_ideale_4_selon_pacome_thiellement",2,6.5
319,Hermès Trismégiste,Hermès Trismégiste,"la_gnose, sophia_perennis",2,5.6
777,Le Coran,Allah,"livres_que_j_ai_aimes_osho_rajneesh, sophia_perennis",2,5
1352,Talmud,,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,4.5
10,Alchimie,Titus Burckhardt,"097_tradition_primordiale, le_traditionalisme",2,
39,Approches de la Nouvelle Gnose,Raymond Abellio,"la_gnose, le_traditionalisme",2,
58,Autorité Spirituelle et Pouvoir Temporel dans la perspective indienne du gouvernement,Ananda Kentish Coomaraswamy,"097_tradition_primordiale, le_traditionalisme",2,
92,Chaman des temps modernes,Alberto Villoldo,"etats_de_conscience, voir",2,
96,Chemin du cinabre (1963),Julius Evola,"097_tradition_primordiale, le_traditionalisme",2,
99,Christianisme / Islam,Frithjof Schuon,"097_tradition_primordiale, le_traditionalisme",2,
103,Clé spirituelle de l'astronomie musulmane (1974),Titus Burckhardt,"097_tradition_primordiale, le_traditionalisme",2,
112,Commentaires sur la vie,Krishnamurti,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,
178,De la magie,Paracelse,"etats_de_conscience, la_gnose",2,
182,De la signature des choses (1622),Jakob Böhme,"la_gnose, sophia_perennis",2,
185,De la vie au-delà des sens,Jakob Böhme,"la_gnose, sophia_perennis",2,
188,De tout cœur et en l'esprit,Frithjof Schuon,"097_tradition_primordiale, le_traditionalisme",2,
253,Entretiens sur la doctrine secrète,Helena Blavatsky,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,
256,"Esotérisme et christianisme, autour de René Guenon",Marie-France James,"097_tradition_primordiale, le_traditionalisme",2,
297,Futuwah - Traité De Chevalerie Soufie,,"097_tradition_primordiale, developpement_personnel",2,
341,Hsin Hsin Ming,Seng Ts'an,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,
361,Introduction aux doctrines ésotériques de l'Islam (1969),Titus Burckhardt,"097_tradition_primordiale, le_traditionalisme",2,
367,Islam et Kabbale contre l'occident chrétien,Alain Pascal,"developpement_personnel, la_gnose",2,
378,Julius Evola: The Sufi of Rome,Frank Julian Gelli,"developpement_personnel, le_traditionalisme",2,
434,L'Homme de lumière dans le soufisme iranien,Henry Corbin,"097_tradition_primordiale, developpement_personnel",2,
446,L'Imagination créatrice dans le soufisme d'Ibn'Arabi (2006),Henry Corbin,"developpement_personnel, la_bibliotheque_ideale_4_selon_pacome_thiellement",2,
459,L'Oeil du Coeur,Frithjof Schuon,"097_tradition_primordiale, le_traditionalisme",2,
473,L'ami spirituel,Arnaud Desjardins,"097_tradition_primordiale, developpement_personnel",2,
475,L'arbre inversé,Ananda Kentish Coomaraswamy,"097_tradition_primordiale, le_traditionalisme",2,
491,L'extase et l'agonie (1983),Irving Stone,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,
493,L'homme et son évolution possible,Petr Demianovitch Ouspensky,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,
530,L'éloge du vin (Al Khamriya) : Poème mystique,Ibn Al-Farid,"developpement_personnel, sophia_perennis",2,
532,L'énergie des chakras,Susan Shumsky,"etats_de_conscience, un_chemin_spirituel",2,
534,L'ésotérisme comme principe et comme voie,Frithjof Schuon,"097_tradition_primordiale, le_traditionalisme",2,
586,La Gnose universelle (1993),Etienne Couvert,"developpement_personnel, la_gnose",2,
640,"La Renaissance, cette imposture",Alain Pascal,"developpement_personnel, la_gnose",2,
652,"La Signification de la mort - ""Meurs avant que tu ne meures""",Ananda Kentish Coomaraswamy,"097_tradition_primordiale, le_traditionalisme",2,
672,La Théorie médiévale de la beauté,Ananda Kentish Coomaraswamy,"097_tradition_primordiale, le_traditionalisme",2,
673,La Transfiguration de l'Homme,Frithjof Schuon,"097_tradition_primordiale, le_traditionalisme",2,
695,La doctrine du sacrifice,Ananda Kentish Coomaraswamy,"097_tradition_primordiale, le_traditionalisme",2,
698,La fin de l'ésoterisme,Raymond Abellio,"la_bibliotheque_ideale_4_selon_pacome_thiellement, le_traditionalisme",2,
706,La lumière sur le sentier,Mabel Collins,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,
716,La onzième heure,Martin Lings,"097_tradition_primordiale, le_traditionalisme",2,
729,La révélation primitive et les données actuelles de la science (1914),Antoine Lemonnyer,"097_tradition_primordiale, le_traditionalisme",2,
816,Le Livre de la certitude,Martin Lings,"097_tradition_primordiale, developpement_personnel",2,
817,Le Livre de la sagesse orientale,Shihâboddîn Yahya Sohravardî,"developpement_personnel, la_bibliotheque_ideale_4_selon_pacome_thiellement",2,
820,Le Livre des haltes,Abd El-Kader,"developpement_personnel, la_gnose",2,
925,Le face à face des coeurs,Faouzi Skali,"097_tradition_primordiale, developpement_personnel",2,
932,Le livre de Mirdad (1948),Mikhail Naimy,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,
946,Le recouvrement d'âme ou le chamanisme au secours de la psychologie,Sandra Ingerman,"etats_de_conscience, un_chemin_spirituel",2,
974,Les Aventures de Nasrudin (2003),Idries Shah,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,
979,Les Chemins du zen,D. T. Suzuki,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,
998,Les Illuminations de La Mecque,Ibn Arabi,"developpement_personnel, la_gnose",2,
1019,"Les Récits hassidiques, tome 2",Martin Buber,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,
